rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,cur_year_avg_weighted,last_year_avg,last_year_avg_weighted,two_year_ago_avg,two_year_ago_weighted,three_year_ago_avg,three_year_ago_weighted,confederation,rank_date
1,Spain,ESP,1614.36,1538,0,912.48,912.48,485.13,242.57,1094.0,328.2,655.54,131.11,UEFA,2013-06-06
2,Germany,GER,1416.35,1428,0,770.63,770.63,555.23,277.61,941.81,282.54,427.84,85.57,UEFA,2013-06-06
3,Argentina,ARG,1286.52,1296,0,702.07,702.07,582.81,291.41,678.21,203.46,447.89,89.58,CONMEBOL,2013-06-06
4,Croatia,CRO,1222.02,1191,0,712.29,712.29,510.1,255.05,570.3,171.09,417.97,83.59,UEFA,2013-06-06
5,Netherlands,NED,1158.42,1093,4,540.33,540.33,329.59,164.8,1159.71,347.91,526.9,105.38,UEFA,2013-06-06
6,Portugal,POR,1136.83,1163,-1,624.6,624.6,430.33,215.17,553.59,166.08,654.89,130.98,UEFA,2013-06-06
7,Colombia,COL,1123.44,1154,-1,684.51,684.51,603.97,301.99,196.12,58.84,390.52,78.1,CONMEBOL,2013-06-06
8,Italy,ITA,1096.97,1117,0,612.03,612.03,442.55,221.28,569.93,170.98,463.39,92.68,UEFA,2013-06-06
9,England,ENG,1095.01,1135,-2,530.73,530.73,541.13,270.56,656.6,196.98,483.71,96.74,UEFA,2013-06-06
10,Ecuador,ECU,1065.51,1058,0,731.89,731.89,401.33,200.67,179.59,53.88,395.34,79.07,CONMEBOL,2013-06-06
1,Spain,ESP,1484.58,1460,0,664.0,664.0,912.48,456.24,485.13,145.54,1094.0,218.8,UEFA,2014-06-05
2,Germany,GER,1299.59,1340,0,559.35,559.35,770.63,385.31,555.23,166.57,941.81,188.36,UEFA,2014-06-05
3,Brazil,BRA,1242.23,1210,1,845.26,845.26,272.3,136.15,449.0,134.7,630.6,126.12,CONMEBOL,2014-06-05
4,Portugal,POR,1189.4,1245,-1,637.29,637.29,624.6,312.3,430.33,129.1,553.59,110.72,UEFA,2014-06-05
5,Argentina,ARG,1174.5,1178,2,512.98,512.98,702.07,351.04,582.81,174.84,678.21,135.64,CONMEBOL,2014-06-05
6,Switzerland,SUI,1148.57,1161,2,640.01,640.01,594.58,297.29,411.83,123.55,438.6,87.72,UEFA,2014-06-05
7,Uruguay,URU,1147.48,1181,-1,671.34,671.34,270.9,135.45,740.62,222.18,592.5,118.5,CONMEBOL,2014-06-05
8,Colombia,COL,1137.04,1186,-3,574.37,574.37,684.51,342.25,603.97,181.19,196.12,39.22,CONMEBOL,2014-06-05
9,Italy,ITA,1103.95,1115,0,556.81,556.81,612.03,306.02,442.55,132.77,541.8,108.36,UEFA,2014-06-05
10,England,ENG,1090.3,1043,1,531.28,531.28,530.73,265.37,541.13,162.34,656.6,131.32,UEFA,2014-06-05
1,Germany,GER,1775.03,1687,0,1153.12,1153.12,559.35,279.68,770.63,231.19,555.23,111.05,UEFA,2015-06-04
2,Belgium,BEL,1508.72,1457,1,961.05,961.05,557.4,278.7,740.37,222.11,234.3,46.86,UEFA,2015-06-04
3,Argentina,ARG,1496.26,1494,-1,919.87,919.87,512.98,256.49,702.07,210.62,546.39,109.28,CONMEBOL,2015-06-04
4,Colombia,COL,1434.92,1412,0,821.59,821.59,574.37,287.18,684.51,205.35,603.97,120.79,CONMEBOL,2015-06-04
5,Brazil,BRA,1392.1,1372,0,813.06,813.06,820.68,410.34,272.3,81.69,435.06,87.01,CONMEBOL,2015-06-04
6,Netherlands,NED,1377.91,1301,0,957.91,957.91,388.38,194.19,540.33,162.1,318.54,63.71,UEFA,2015-06-04
7,Portugal,POR,1229.46,1221,0,617.62,617.62,637.29,318.64,624.6,187.38,529.05,105.81,UEFA,2015-06-04
8,Uruguay,URU,1183.33,1176,0,618.27,618.27,671.34,335.67,270.9,81.27,740.62,148.12,CONMEBOL,2015-06-04
9,France,FRA,1163.87,1127,2,704.66,704.66,449.18,224.59,451.18,135.35,496.34,99.27,UEFA,2015-06-04
10,Spain,ESP,1147.01,1132,0,443.99,443.99,664.0,332.0,912.48,273.74,486.43,97.29,UEFA,2015-06-04
1,Argentina,ARG,1503.35,1532,0,741.1,741.1,919.87,459.93,512.98,153.9,742.1,148.42,CONMEBOL,2016-06-02
2,Belgium,BEL,1383.71,1364,0,587.9,587.9,961.05,480.53,557.4,167.22,740.37,148.07,UEFA,2016-06-02
3,Colombia,COL,1328.16,1337,1,597.24,597.24,821.59,410.79,574.37,172.31,739.06,147.81,CONMEBOL,2016-06-02
4,Germany,GER,1310.49,1309,1,412.01,412.01,1153.12,576.56,559.35,167.81,770.63,154.13,UEFA,2016-06-02
5,Chile,CHI,1293.33,1353,-2,793.85,793.85,489.13,244.56,610.01,183.0,359.6,71.92,CONMEBOL,2016-06-02
6,Spain,ESP,1266.6,1277,0,669.64,669.64,443.99,221.99,664.0,199.2,878.81,175.76,UEFA,2016-06-02
7,Brazil,BRA,1256.82,1261,0,555.56,555.56,793.26,396.63,845.26,253.58,255.28,51.06,CONMEBOL,2016-06-02
8,Portugal,POR,1181.43,1184,0,564.84,564.84,617.62,308.81,637.29,191.19,582.96,116.59,UEFA,2016-06-02
9,Uruguay,URU,1149.6,1158,0,582.68,582.68,618.27,309.13,671.34,201.4,281.95,56.39,CONMEBOL,2016-06-02
10,Austria,AUT,1077.49,1067,1,610.71,610.71,599.33,299.66,411.65,123.49,218.11,43.62,UEFA,2016-06-02
1,Brazil,BRA,1715.02,1672,0,1038.91,1038.91,555.56,277.78,793.26,237.98,801.78,160.36,CONMEBOL,2017-06-01
2,Argentina,ARG,1626.23,1603,0,877.12,877.12,741.1,370.55,919.87,275.96,512.98,102.6,CONMEBOL,2017-06-01
3,Germany,GER,1511.44,1464,0,857.8,857.8,412.01,206.0,1153.12,345.94,508.5,101.7,UEFA,2017-06-01
4,Chile,CHI,1422.14,1411,0,756.47,756.47,793.85,396.92,489.13,146.74,610.01,122.0,CONMEBOL,2017-06-01
5,Colombia,COL,1365.63,1348,0,705.66,705.66,597.24,298.62,821.59,246.48,574.37,114.87,CONMEBOL,2017-06-01
6,France,FRA,1332.16,1294,0,855.3,855.3,351.26,175.63,704.66,211.4,449.18,89.84,UEFA,2017-06-01
7,Belgium,BEL,1291.57,1281,0,597.83,597.83,587.9,293.95,961.05,288.32,557.4,111.48,UEFA,2017-06-01
8,Portugal,POR,1266.76,1259,0,671.59,671.59,564.84,282.42,617.62,185.29,637.29,127.46,UEFA,2017-06-01
9,Switzerland,SUI,1263.29,1212,0,788.68,788.68,355.32,177.66,563.16,168.95,640.01,128.0,UEFA,2017-06-01
10,Spain,ESP,1198.19,1204,0,597.37,597.37,669.64,334.82,443.99,133.2,664.0,132.8,UEFA,2017-06-01
10,Poland,POL,1197.7,1183,1,764.51,764.51,450.51,225.25,554.05,166.21,208.62,41.72,UEFA,2017-06-01
1,Germany,GER,1558.49,1544,0,775.06,775.06,832.0,416.0,424.26,127.28,1200.77,240.15,UEFA,2018-06-07
2,Brazil,BRA,1430.57,1384,0,558.95,558.95,1082.36,541.18,560.21,168.06,811.88,162.38,CONMEBOL,2018-06-07
3,Belgium,BEL,1298.32,1346,0,629.98,629.98,645.63,322.82,529.8,158.94,932.92,186.58,UEFA,2018-06-07
4,Portugal,POR,1273.69,1306,0,646.92,646.92,691.82,345.91,517.77,155.33,627.63,125.53,UEFA,2018-06-07
5,Argentina,ARG,1241.45,1254,0,404.07,404.07,809.59,404.8,829.98,248.99,917.94,183.59,CONMEBOL,2018-06-07
6,Switzerland,SUI,1198.72,1179,0,578.59,578.59,808.58,404.29,338.09,101.43,572.09,114.42,UEFA,2018-06-07
7,France,FRA,1198.13,1166,0,520.12,520.12,856.75,428.38,393.65,118.09,657.68,131.54,UEFA,2018-06-07
8,Poland,POL,1182.61,1128,2,499.9,499.9,896.94,448.47,375.17,112.55,608.45,121.69,UEFA,2018-06-07
9,Chile,CHI,1134.66,1146,0,403.99,403.99,831.33,415.67,724.98,217.49,487.56,97.51,CONMEBOL,2018-06-07
10,Spain,ESP,1125.5,1162,-2,537.05,537.05,611.48,305.74,646.4,193.92,443.99,88.8,UEFA,2018-06-07
